codigo_producto,descripcion_producto,costo_producto,precio_producto,stock_actual_producto,unidad_de_medida_producto,proveedor_producto,ramo_producto,familia_producto,grupo_producto,marco_producto
711,HELADO CHOMP CREMA TOFEE FRIGOR 180GR (6 UNI),173.345,225.0,0.0,Uni,GRABA S.A,CONGELADOS,HELADOS,Sin asignar,FRIGOR
732,HELADO FRAMBUESAS AMERICAN COOKIES 150GR (24 UNI),193.494,252.0,14.0,Uni,GRABA S.A,CONGELADOS,HELADOS,Sin asignar,GIO
0233,AROS DE CEBOLLA 1.100 KG (10 UNI),272.01,354.0,29.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,FRAM FRITES
0052,ARVEJAS CONGELADAS ORLEMANS 2.5 KG (4 UNI),319.124,415.0,16.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0048,BROCOLI FLORETS 2.5 KG (4 UNI),306.886,399.0,15.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
0374,ENSALADA RUSA JV 2.5 KG (4 UNI),248.756,323.0,8.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
0332,ENSALADA GRACE (BROCOLI MIX) 2.5 KG (4 UNI),303.579,395.0,15.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0043,ESPINACA ORLEMANS 2.5 KG (4 UNI),264.123,343.0,15.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0023,CROQUETAS DE PAPAS ORLEMANS 750 GR (12 UNI),136.416,177.0,13.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0375,ENSALADA RUSA JV 1 KG (10 UNI),119.911,156.0,10.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0392,ESPINACA ORLEMANMS 1 KG (10 UNI),127.047,165.0,3.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
1022,MEDALLONES DE MERLUZA SOLIMENO 400 GR 4 UNI (12 UNI),107.594,140.0,14.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
0372,ACELGA CONGELADA JV 2.5 KG (4 UNI),336.216,437.0,16.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
0390,"BALKAN MIX 1 KG NANAHORIA,CHAUCHA,ARVEJA,MORRON,CHOCLO (10 UNI)",160.259,208.0,10.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0041,CEBOLLA CUBOS ORLEMNAS 2.5 KG (4 UNI),313.316,407.0,2.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0410,CHAUCHA ARDO 1 KG (10 UNI),115.992,151.0,8.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ARDO
0376,SOFRITO MORRON Y CEBOLLA 1KG (10 UNI),142.423,185.0,13.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ORLEMANS
0391,ENSALADA GRACE BROCOLI MIX 1 KG (10 UNI),151.631,197.0,10.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
3300,"BALKAN MIX 2.5 KG NANAHORIA,CHAUCHA,ARVEJA,MORRON,CHOCLO (4 UNI)",354.203,460.0,12.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
220,PAPAS EN CUBOS CONGELADAS RISSOLEES 2.5 KG (4 UNI),313.346,407.0,4.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,
2610,FRUTILLAS CONGELADAS FROSUR 1KG (10 UNI),172.935,225.0,13.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,FROSUR
2600,FRUTOS DEL BOSQUE CONGELADOS 1KG (10 UNI),301.035,391.0,14.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,FROSUR
226,CHAUCHA ARDO 2.5 KG  (4 UNI),311.494,405.0,8.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ARDO
4111,ARVEJAS CONGELADAS ARDO 1 KG (10 UNI),135.653,176.0,6.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ARDO
4170,ESPINACA CONGELADA ARDO 400 GR (15 UNI),64.026,83.0,38.0,Uni,GRABA S.A,CONGELADOS,VEGETALES,Sin asignar,ARDO
62,ALIMENTO KUN CAT 5 KG,310.362,403.0,22.0,Uni,NEGLEY S.A,ALIMENTO MASCOTAS,GATOS,Sin asignar,KUN
59,ALIMENTO KUN CARNE 5 KG,170.339,221.0,18.0,Uni,NEGLEY S.A,ALIMENTO MASCOTAS,PERROS,Sin asignar,KUN
60,ALIMENTO KUN MIX 5 KG,170.339,221.0,93.0,Uni,NEGLEY S.A,ALIMENTO MASCOTAS,PERROS,Sin asignar,KUN
61,ALIMENTO KUN HUESITO 7 KG,230.948,300.0,88.0,Uni,NEGLEY S.A,ALIMENTO MASCOTAS,PERROS,Sin asignar,KUN
64,ALIMENTO KUN BABY 5 KG,308.002,400.0,8.0,Uni,NEGLEY S.A,ALIMENTO MASCOTAS,PERROS,Sin asignar,KUN
110655,ALIMENTO KUN CARNE 25 KG,759.714,988.0,18.0,Uni,NEGLEY S.A,ALIMENTO MASCOTAS,PERROS,Sin asignar,KUN
1039K,CHORIZO EXPORT LA CONSTANCIA X 7 UNIDADES AL VACIO,255.117,319.0,2.0,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,CHORIZO,Sin asignar,LA CONSTANCIA
1822,LONGANIZA LA CONSTANCIA AL VACIO KG,443.777,555.0,2.697,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,F SECAS,Sin asignar,LA CONSTANCIA
5038,MATAMBRITO DE CERDO LA CONSTANCIA KG,598.92,749.0,16.349,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FETEADOS,Sin asignar,LA CONSTANCIA
5593,CHORIZO EXTRA LA CONSTANCIA AL VACIO X 2 UNIDADES KG,278.18,348.0,0.0,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FETEADOS,Sin asignar,LA CONSTANCIA
5595,FRANKFURTER CASA FUERTE AL VACIO 1 KG,114.046,143.0,2.994,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FETEADOS,Sin asignar,
5603,SALAMIN CHACARERO LA CONSTANCIA AL VACIO KG,443.777,555.0,1.25,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FETEADOS,Sin asignar,
5604,SALAMIN LA CONSTANCIA AL VACIO KG,443.777,555.0,1.658,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FETEADOS,Sin asignar,
5580,QUESO DE CERDO LA CONSTANCIA MITADES KG,205.57,257.0,0.002,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FIAMBRES,Sin asignar,LA CONSTANCIA
5606,SALAME MILAN CASA FUERTE KG,274.5,343.0,21.284,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FIAMBRES,Sin asignar,CASA FUERTE
5695,SALAME MILAN CASA FUERTE MITADES KG,278.77,348.0,0.574,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FIAMBRES,Sin asignar,CASA FUERTE
1253,PALETA COCIDA LA CONSTANCIA KG,212.426,266.0,8.593,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FIAMBRES,Sin asignar,LA CONSTANCIA
1823,PALETA COCIDA LA CONSTANCIA MITADES KG,215.842,270.0,10.301,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FIAMBRES,Sin asignar,LA CONSTANCIA
10430,SALAME MILAN LA CONSTANCIA KG,472.274,590.0,0.0,Kg ,NOESMA S.A,FIAMBRES Y QUESOS,FIAMBRES,Sin asignar,LA CONSTANCIA
0099,SALSA PIZZERA DOÑA JACINTA 3KG (4 UNI),138.902,188.0,178.0,Uni,SOLMEY S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,DOÑA JACINTA
4037,MERMELADA DIETETICA FRASCO HIGO RINCON DEL GIGANTE 340 GR (12 UNI),82.673,107.0,8.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
4042,MERMELADA HIGO RINCON DEL GIGANTE 250 GR (24 UNI),45.472,59.0,0.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
4043,MERMELADA DURAZNO RINCON DEL GIGANTE 250 GR (24 UNI),36.373,47.0,26.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
4044,MERMELADA ZAPALLO RINCON DEL GIGANTE 250 GR (24 UNI),36.384,47.0,42.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
4045,MERMELADA FRUTILLA RINCON DEL GIGANTE 250 GR (24 UNI),45.452,59.0,14.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
4047,MERMELADA CIRUELA RINCON DEL GIGANTE 250 GR (24 UNI),36.384,47.0,23.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
100003,MERMELADA ARANDANOS RINCON DEL GIGANTE 250 GR (24 UNI),45.472,59.0,24.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
161,MERMELADA DIETETICA POTE DURAZNO RINCON DEL GIGANTE 425 GR (12 UNI),72.757,95.0,10.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
163,MERMELADA DIETETICA POTE HIGO RINCON DEL GIGANTE 425 GR (12 UNI),81.029,105.0,41.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
1600,MERMELADA DIETETICA POTE FRUTILLA RINCON DEL GIGANTE 425 GR (12 UNI),81.029,105.0,3.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
00164,MERMELADA DIETETICA ARANDANOS RINCON DEL GIGANTE 425GR (12 UNI),81.029,105.0,0.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
970,MERMELADA ARANDANOS RINCON DEL GIGANTE 500 GR (12 UNI),75.348,94.0,0.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,MERMELADAS,Sin asignar,RINCON DEL GIGANTE
4060,PASTA MEMBRILLO 5KG R. GIGANTE,363.797,509.0,0.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,Sin asignar,Sin asignar,RINCON DEL GIGANTE
4061,JALEA MANZANA 5 KG R. GIGANTE,363.736,509.0,13.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,Sin asignar,Sin asignar,RINCON DEL GIGANTE
4039,MERMELADA DIETETICA FRASCO CIRUELA RINCON DEL GIGANTE 340 GR (12 UNI),82.683,107.0,7.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4040,MERMELADA DIETETICA FRASCO DURAZNO RINCON DEL GIGANTE 340 GR (12 UNI),82.683,107.0,3.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4041,MERMELADA DIETETICA FRASCO FRUTILLA RINCON DEL GIGANTE 340 GR (12 UNI),82.683,107.0,3.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4053,DULCE MEMBRILLO RINCON DEL GIGANTE 900 GR (18 UNI),78.547,102.0,172.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4054,DULCE BATATA RINCON DEL GIGANTE 900 GR (18 UNI),81.029,105.0,153.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4055,DULCE ZAPALLO RINCON DEL GIGANTE 900 GR (18 UNI),81.029,105.0,150.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4056,DULCE MEMBRILLO DOÑA JACINTA 4KG (6 UNI),260.446,326.0,67.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,DOÑA JACINTA
4057,DULCE MEMBRILLO RINCON DEL GIGANTE 4KG (6 UNI),281.114,351.0,28.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4058,DULCE BATATA RINCON DEL GIGANTE 4KG (4 UNI),307.572,394.0,2.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4059,DULCE ZAPALLO RINCON DEL GIGANTE 4KG (4 UNI),307.572,394.0,0.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4062,MERMELADA DURAZNO RINCON DEL GIGANTE 3 KG,243.902,305.0,1.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4063,MERMELADA ZAPALLO RINCON DEL GIGANTE 3 KG,243.902,305.0,0.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
4066,MERMELADA FRUTILLA RINCON DEL GIGANTE 3 KG,334.857,419.0,2.0,Uni,SOLMEY S.A,DULCES Y MERMELADAS,DULCES DE CORTES,DULCES Y JALEAS,RINCON DEL GIGANTE
1032,RAVIOLES DE VERDURA EL BUEN GUSTO 750 GR (20 UNI),123.901,161.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1033,RAVIOLES DE POLLO EL BUEN GUSTO 750 GR (20 UNI),123.901,161.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1034,RAVIOLES DE ESPINACA EL BUEN GUSTO 750 GR (20 UNI),123.901,161.0,1.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1037,ÑOQUIS EL BUEN GUSTO 1 KG (15 UNI),132.299,172.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1039,RAVIOLES DE POLLO EL BUEN GUSTO 2.5 KG (6 UNI),374.849,487.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1040,RAVIOLES DE ESPINACA EL BUEN GUSTO 2.5 KG (6 UNI),374.849,487.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1041,RAVIOLES DE RICOTA EL BUEN GUSTO 750 GR (20 UNI),123.901,161.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1042,RAVIOLES DE JAMON Y QUESO EL BUEN GUSTO 750 GR (20 UNI),140.7,183.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1043,SORRENTINOS DE JAMON Y QUESO EL BUEN GUSTO 1 KG (12 UNI),269.85,351.0,1.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
1050,RAVIOLES DE JAMON Y QUESO EL BUEN GUSTO 2.5 KG (6 UNI),374.85,487.0,0.0,Uni,ANTITEC S.A,CONGELADOS,PASTAS,Sin asignar,EL BUEN GUSTO
5673,PAPEL HIGIENICO FINOPEL 30X 4 ROLLOS (16 UNI),23.101,29.0,18.0,Uni,BOYERCO S.A,FARMACIA Y TOCADOR,PH,Sin asignar,FINOPEL
6242,PAPEL HIGIENICO FINOPEL 30X 16 ROLLOS (4 UNI),78.75,98.0,63.0,Uni,BOYERCO S.A,FARMACIA Y TOCADOR,PH,Sin asignar,FINOPEL
ALK8168,PALA ALKLIN CON CABO (12 UNI),112.147,140.0,19.0,Uni,BOYERCO S.A,LIMPIEZA,ALKLIN,Sin asignar,ALKLIN
ALK7967,CEPILLO ALKLIN MULTIUSO (12 UNI),77.571,101.0,8.0,Uni,BOYERCO S.A,LIMPIEZA,ALKLIN,Sin asignar,ALKLIN
ALK8603,ESCOBA ALKLIN JARDIN 20 DIENTES (12 UNI),163.076,212.0,8.0,Uni,BOYERCO S.A,LIMPIEZA,ALKLIN,Sin asignar,ALKLIN
ALK7894,ESPONJA SALVA UÑAS ALKLIN (40 UNI),10.501,13.0,189.0,Uni,BOYERCO S.A,LIMPIEZA,ALKLIN,Sin asignar,ALKLIN
GAES115,ESCOBA GAUCHA JARDIN,83.74,109.0,70.0,Uni,BOYERCO S.A,LIMPIEZA,GAUCHA,Sin asignar,
606813,ACEITE DE MAIZ SUAVIT S/GLUTEN 900ML (20 UNI),97.125,112.0,33.0,Uni,BOYERCO S.A,ACEITES,ACEITES,Sin asignar,SUAVIT
110261,JABON EN POLVO AZUL BRILHASUL 800GR (25 UNI),30.45,40.0,93.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,BRILHA SUL
110263,JABON EN POLVO ROSA BRILHASUL 800GR (25 UNI),30.45,40.0,93.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,BRILHA SUL
930839,JABON BLANCO RAZZO  PACK 5 UNI (12 UNI),75.6,94.0,106.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930840,JABON EN BARRA RAZZO AZUL 180GR (60 UNI),14.7,18.0,50.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930842,JABON EN BARRA RAZZO VERDE 180GR (60 UNI),16.801,21.0,110.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930841,JABON EN BARRA RAZZO NARANJA 180GR (60 UNI),16.801,21.0,179.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930843,JABON EN BARRA RAZZO BLANCO 180GR (60 UNI),16.801,21.0,28.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930070,QUITAMANCHAS EN BARRA RAZZO  200GR (60 UNI),18.9,24.0,13.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930836,JABON AZUL RAZZO PACK 5 UNI (12 UNI),68.25,85.0,82.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930838,JABON VERDE RAZZO PACK 5 UNI (12 UNI),75.6,94.0,63.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
930837,JABON NARANJA RAZZO PACK 5 UNI (12 UNI),75.6,94.0,127.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,RAZZO
117953,SUAVIZANTE BRILHASUL PURO ENCANTO 1LT (12 UNI),86.1,108.0,12.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,BRILHA SUL
117892,SUAVIZANTE BRILHASUL SUEÑO DE VERANO 1LT (12 UNI),86.1,108.0,24.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,BRILHA SUL
117946,SUAVIZANTE BRILHASUL ETERNA PASION 1LT (12 UNI),87.151,109.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,BRILHA SUL
117954,SUAVIZANTE BRILHASUL HIPOALERGENICO 1LT (12 UNI),87.151,109.0,9.0,Uni,BOYERCO S.A,LIMPIEZA,JABONES,Sin asignar,BRILHA SUL
MOPI894,ROLLO PH 500 MT MONTANA (8 UNI),109.306875,137.0,0.0,Uni,BOYERCO S.A,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,
5672,JABON LIQUIDO AZUL BRILHA SUL 3 LT (4 UNI),114.451,143.0,11.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
6233,DETERGENTE NEUTRO BRILHA SUL 500 ML (24 UNI),12.076,14.0,303.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
6234,DETERGENTE LIMON BRILHA SUL 500 ML (24 UNI),12.076,14.0,14.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
6254,TOALLA COCINA CLARIS 2 ROLLO X 50 HOJAS (12 UNI),26.251,34.0,18.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,
6256,TOALLA COCINA SOUL SOFT 1 ROLLO 200 HOJA DOBLE (6 UNI),44.52,53.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,
ALK7981,MOP LUSTRA MAS PLANA ALGODON CON CABO ALKLIN (6 UNI),300.32,375.0,1.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,ALKLIN
KOST5013,NYLON FILM STRECH BOBINA 50X13X25 MICRAS,377.359,509.0,11.0,Uni,BOYERCO S.A,EMPAQUES,Sin asignar,Sin asignar,NATREON
ALK7806,PALA CLIP DOMESTICA ALKLIN (12 UNI),64.754775,81.0,2.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,ALKLIN
NOSE10003,SERVILLETAS NOBBY 21X22 50 UNI (48 UNI),12.72,17.0,12.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,
NOSE10005,SERVILLETAS NOBBY 30X31 (50 UNI),23.32,30.0,121.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,
SADI0032,PASTILLA MOCHILA SANY LAVANDA 50GR,92.514,116.0,1.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,SANY
SADI0168,PASTILLA MOCHILA SANY PINO 50GR,92.514,116.0,6.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,SANY
493549,DISPENSADOR TOALLA MANOS INTER PARED,391.975,490.0,2.0,Uni,BOYERCO S.A,HOGAR,Sin asignar,Sin asignar,
493561,DISPENSADOR JABON PARED,419.968,525.0,1.0,Uni,BOYERCO S.A,HOGAR,Sin asignar,Sin asignar,
235776,TOALLA PAPEL BOBINA TROPICOS 200 MT (6 UNI),118.719,148.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,
390425,ALCOHOL ETILICO 70º 1 LT (12 UNI),84.827,106.0,0.0,Uni,BOYERCO S.A,HOGAR,Sin asignar,Sin asignar,
390782,LIMPIA VIDRIOS COPERALCOOL 500ML (12 UNI),26.251,34.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,COLGATE
81353,TOALLA COCINA SOUL SOFT PREMIUM 150 HOJAS (12 UNI),46.641,61.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,SOYA
110808,SUAVIZANTE SIENNA BRILHA SUL 3 LT (4 UNI),93.451,117.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
110806,SUAVIZANTE BLUE SOFT BRILHA SUL 3 LT (4 UNI),93.451,117.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
110807,SUAVIZANTE LUXURY BRILHA SUL 3 LT (4 UNI),93.451,117.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
110066,AGUA LAVANDINA BRILHA SUL 1 LT (12 UNI),20.14,25.0,2.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,BRILHA SUL
171003,SERVILLETAS PREMIUM NOBBY 21X22 50 UNI (48 UNI),10.501,14.0,360.0,Uni,BOYERCO S.A,LIMPIEZA,Sin asignar,Sin asignar,FINOPEL
80967,TOALLA COCINA SOUL SOFT 1 ROLLO 100 HOJA DOBLE (12 UNI),28.35,34.0,26.0,Uni,BOYERCO S.A,LIMPIEZA,PAPEL COCINA,Sin asignar,SOUL SOFT
110715,DESINFECTANTE BRILHA SUL JAZMIN 2LT (6 UNI),47.249,59.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
110701,DESINFECTANTE BRILHA SUL LIMON 2LT (6 UNI),47.249,59.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
110702,DESINFECTANTE BRILHA SUL PINO 2LT (6 UNI),47.249,59.0,25.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
110704,DESINFECTANTE BRILHA SUL EUCALIPTO 2LT (6 UNI),47.249,59.0,24.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
115743,DESINFECTANTE BRILHASUL  FLORAL 5LT (4 UNI),103.95,130.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
115744,DESINFECTANTE BRILHASUL PINO 5LT (4 UNI),103.95,130.0,1.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
110705,DESINFECTANTE FLORAL BRILHASUL 2LT (6 UNI),47.249,59.0,0.0,Uni,BOYERCO S.A,LIMPIEZA,DESINFECTANTES,Sin asignar,BRILHA SUL
0071,PREMEZCLA BIZCOCHUELO SIN AZUCAR 400 GR,163.148,204.0,2.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,HARINAS,Sin asignar,URULEVA
2020,HARINA MALTA URULEVA 4KG,873.143,1135.0,2.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
6014,PREMEZCLA PAN DE HAMBURGUESA URULEVA 4KG,904.619,25.13,2.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
6015,PREMEZCLA MASAS SECAS URULEVA 4KG,755.552,944.0,5.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
6067,MEJORADOR CONCENTRADO URULEVA 100G (30 UNI),58.841,76.0,256.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
6072,PREMEZCLA BIZCOCHUELO URULEVA 10KG,39.068,50.79,0.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
0072,POLVO HORNEAR URULEVA 1 KG,232.655,291.0,1.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
787,PREMEZCLA FACTURAS DULCES URULEVA 400 GR,235.704,295.0,1.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
788,PREMEZCLA BUDIN URULEVA 500 GR,131.943,165.0,1.0,Uni,LEDIFAR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,URULEVA
